label,message
spam,Wire money outside the platform now!
spam,Please provide your bank details urgently!
spam,Send payment before starting work!
spam,Click this suspicious link to claim rewards!
spam,Your account has been blocked.
ham,Thank you for your payment.
ham,Let's start your project!
ham,I'm available for freelance work.
ham,Please send the documents when ready.
ham,Have a great day!
spam,WINNER!! You have been selected for a Â£1000 prize. Claim now!
ham,Looking forward to working with you.
spam,Update your bank info to continue using our service.
ham,This message is safe and legitimate.
spam,Payment must be done outside the platform or the project will be cancelled.
spam,Send your account number and password to confirm your job.
spam,Click here to become an instant millionaire!
ham,What is the estimated timeline for project delivery?
ham,Let's connect for the next stage of your work.
ham,Here is the document you requested.

